N,S_valid,S_equal,S_fail,S_undefined,S_rate_valid,S_rate_all,S_smallest_equal,S_smallest_counterexample,R4_fixed_inputs,S_fixed_inputs,both_fixed,S_universal,T_valid,T_equal,T_fail,T_undefined,T_rate_valid,T_rate_all,T_smallest_equal,T_smallest_counterexample,R4_fixed_inputs_T,T_fixed_inputs,both_fixed_T,T_universal
84,10000,4,9996,0,0.0004000000,0.0004000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
85,10000,3,9997,0,0.0003000000,0.0003000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
86,10000,1,9999,0,0.0001000000,0.0001000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
87,10000,7,9993,0,0.0007000000,0.0007000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
88,10000,19,9981,0,0.0019000000,0.0019000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
89,10000,3,9997,0,0.0003000000,0.0003000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
90,10000,12,9988,0,0.0012000000,0.0012000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
91,10000,10,9990,0,0.0010000000,0.0010000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
92,10000,3,9997,0,0.0003000000,0.0003000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
93,10000,4,9996,0,0.0004000000,0.0004000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
94,10000,3,9997,0,0.0003000000,0.0003000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
95,10000,2,9998,0,0.0002000000,0.0002000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
96,10000,13,9987,0,0.0013000000,0.0013000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
97,10000,2,9998,0,0.0002000000,0.0002000000,0,1,100,1,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,0,0,false
98,10000,3,9997,0,0.0003000000,0.0003000000,0,1,100,2,1,false,10000,0,10000,0,0.0000000000,0.0000000000,-1,0,100,2,0,false
